gen,design_id,Efficiency,Massflow,Compression_ratio
1,0,0.8769563,20.308886,2.0328276
1,1,0.8815849,20.029734,2.0236592
1,2,0.8882634,19.74163,1.9840012
1,3,0.87714666,20.205053,2.0559933
1,4,0.88298064,19.8298,2.0155494
1,5,0.8729993,20.349882,2.074946
10,0,0.87742776,20.575495,2.0418713
10,1,0.87161577,20.731394,2.1000233
10,2,0.8878947,20.476852,2.064166
10,3,0.87156665,20.736135,2.100417
10,4,0.8785337,20.568033,2.041713
10,5,0.895715,20.032875,2.018615
10,6,0.8974385,19.903536,2.0229557
10,7,0.8701551,20.817696,2.096733
10,8,0.8972526,19.973827,2.0142283
10,9,0.888924,20.273676,2.0290463
10,10,0.9003917,19.822422,2.007607
10,11,0.9030143,19.389872,1.9693094
10,12,0.89886343,19.83758,2.0127027
10,13,0.8676079,20.842104,2.0824044
10,14,0.88747877,20.522825,2.06086
10,15,0.87238574,20.682037,2.0841663
10,16,0.8930454,20.251865,2.0367908
10,17,0.87665117,20.649036,2.0426924
10,18,0.8708388,20.776556,2.0792563
10,19,0.8715109,20.766382,2.0861886
10,20,0.8595713,20.845148,2.0990303
10,21,0.888674,20.292616,2.0374458
10,22,0.9023841,19.685345,1.9940852
10,23,0.89386195,20.103277,2.0338647
20,0,0.8931227,20.618364,2.051982
20,1,0.8935913,20.52324,2.0431724
20,2,0.87279993,21.035303,2.099152
20,3,0.8912172,20.653254,2.0497854
20,4,0.87400025,21.02297,2.08476
20,5,0.90281117,20.093426,2.015236
20,6,0.8958743,20.44211,2.0571907
20,7,0.88063145,20.932821,2.086632
20,8,0.9090671,19.509636,1.9857199
20,9,0.8956463,20.519285,2.0633318
20,10,0.88562554,20.84096,2.0708876
20,11,0.9038015,20.020088,2.0120432
20,12,0.90191746,20.148989,2.0355058
20,13,0.8778829,20.968897,2.0866327
20,14,0.90706706,19.831938,2.0137088
20,15,0.8978702,20.42431,2.0523405
20,16,0.88398653,20.858408,2.0611706
20,17,0.8896024,20.693323,2.0785422
20,18,0.8957368,20.50706,2.0598626
20,19,0.8990894,20.340828,2.0449169
20,20,0.8743004,21.01645,2.0714545
20,21,0.9102992,19.427364,1.9824299
20,22,0.90112317,20.20672,2.0419612
20,23,0.8837547,20.908371,2.081084
20,24,0.8934806,20.579504,2.0372386
20,25,0.87642103,21.006842,2.0810497
20,26,0.8895577,20.69601,2.0787559
20,27,0.8705112,21.088303,2.0972793
20,28,0.90036184,20.218147,2.0424588
20,29,0.87006813,21.225643,2.0960903
20,30,0.9033386,20.05578,2.0114787
20,31,0.9082258,19.764065,1.9992064
20,32,0.9067527,19.940187,2.0226352
20,33,0.86744344,21.268288,2.0956254
20,34,0.88614064,20.838907,2.0685308
20,35,0.89966434,20.2744,2.0402987
20,36,0.89114344,20.653378,2.0496585
20,37,0.9090234,19.650206,1.9994111
20,38,0.8893845,20.756275,2.062176
30,0,0.9040217,20.20201,2.0182853
30,1,0.89083546,20.869537,2.0872207
30,2,0.89548635,20.636005,2.0568404
30,3,0.8707,21.359634,2.0953684
30,4,0.87591565,21.272827,2.0898294
30,5,0.8857643,20.984402,2.084481
30,6,0.8959416,20.609207,2.0561342
30,7,0.8911844,20.855455,2.0867372
30,8,0.9074988,20.014128,2.0130823
30,9,0.904171,20.159437,2.032853
30,10,0.90766066,19.959076,2.0071046
30,11,0.9037872,20.22347,2.027687
30,12,0.90340644,20.230263,2.0427976
30,13,0.86660403,21.366371,2.0997767
30,14,0.89086604,20.868404,2.0872273
30,15,0.90115154,20.399612,2.0387962
30,16,0.89517105,20.706112,2.066461
30,17,0.8883408,20.943398,2.0793595
30,18,0.8890014,20.876266,2.0762446
30,19,0.87448674,21.308243,2.096747
30,20,0.8925426,20.761423,2.0629056
30,21,0.8990457,20.480791,2.05231
30,22,0.88725615,20.964886,2.0847225
30,23,0.892245,20.766632,2.0758665
30,24,0.90164804,20.37994,2.037451
30,25,0.90870965,19.865965,2.0026014
30,26,0.8961754,20.573994,2.0521533
30,27,0.8669108,21.363464,2.0844135
30,28,0.90538764,20.059597,2.0270646
30,29,0.8897205,20.874931,2.0781968
30,30,0.9111375,19.606615,1.9959284
30,31,0.89872533,20.521019,2.0662766
30,32,0.90517056,20.13,2.0217733
30,33,0.8916526,20.769909,2.074096
30,34,0.8784888,21.176931,2.100647
30,35,0.900085,20.428183,2.0511465
30,36,0.89362484,20.75402,2.0616682
30,37,0.90524006,20.069818,2.0250747
30,38,0.9052202,20.091894,2.0209577
30,39,0.8986436,20.523746,2.066698
30,40,0.88223284,21.091125,2.087755
30,41,0.875507,21.291477,2.090743
30,42,0.90073156,20.41846,2.0391092
30,43,0.8912322,20.834019,2.070247
30,44,0.8802962,21.10741,2.0828366
30,45,0.8973299,20.561497,2.0603566
30,46,0.8953112,20.663073,2.0682678
30,47,0.8840021,21.05007,2.0742164
30,48,0.90948623,19.840048,1.9978894
30,49,0.87768584,21.192831,2.1013505
30,50,0.90481,20.146423,2.029212
30,51,0.8792995,21.145693,2.0919642
30,52,0.8855661,20.992285,2.0680673
30,53,0.90845394,19.905258,2.0012088
30,54,0.9079743,19.939476,2.0200562
30,55,0.9066462,20.046179,2.0191088
30,56,0.8732175,21.343752,2.085468
30,57,0.891569,20.774498,2.0746248
30,58,0.8972112,20.569197,2.0699353
30,59,0.90318733,20.309725,2.0322568
30,60,0.91008586,19.792904,2.0034454
30,61,0.87598103,21.230715,2.0837755
30,62,0.8998668,20.46859,2.047771
30,63,0.89244634,20.766624,2.0757937
30,64,0.887671,20.950264,2.0772755
30,65,0.8984722,20.543198,2.0631962
30,66,0.87531334,21.29978,2.0904434
30,67,0.9009981,20.415758,2.0405705
30,68,0.89491487,20.732508,2.0699482
30,69,0.90869933,19.892025,2.0015829
40,0,0.8933195,20.79295,2.0713356
40,1,0.89194196,20.845654,2.0815382
40,2,0.89070076,20.889301,2.0717309
40,3,0.89369416,20.790756,2.0740893
40,4,0.881744,21.208805,2.1037729
40,5,0.9094429,19.997494,2.0149708
40,6,0.89110655,20.874735,2.0813591
40,7,0.8961404,20.673178,2.0734663
40,8,0.91223705,19.757092,1.9974293
40,9,0.89938545,20.56082,2.05426
40,10,0.89296895,20.82515,2.0675564
40,11,0.8817076,21.209356,2.1037598
40,12,0.8765261,21.286839,2.0873492
40,13,0.9035394,20.31259,2.0368817
40,14,0.89324343,20.799152,2.0800576
40,15,0.8848527,21.120575,2.0961537
40,16,0.8991698,20.570242,2.0643284
40,17,0.9119086,19.83161,2.001316
40,18,0.8841717,21.142338,2.093185
40,19,0.91133285,19.92349,2.0106418
40,20,0.8906868,20.904476,2.057868
40,21,0.8956105,20.69319,2.0514235
40,22,0.8961521,20.672697,2.0734136
40,23,0.90428656,20.296675,2.0469341
40,24,0.8969583,20.655222,2.0690832
40,25,0.89601004,20.675772,2.057352
40,26,0.9036724,20.299276,2.0270092
40,27,0.8986329,20.611818,2.053596
40,28,0.90319777,20.3378,2.047852
40,29,0.8758572,21.30184,2.085178
40,30,0.9008619,20.504297,2.0391202
40,31,0.89047515,20.911419,2.0797915
40,32,0.8967573,20.665722,2.058155
40,33,0.8773401,21.28664,2.0857275
40,34,0.9103978,19.978563,2.0148573
40,35,0.88986087,20.942352,2.0869415
40,36,0.88596565,21.088694,2.0938847
40,37,0.8904972,20.90853,2.071545
40,38,0.9078026,20.1102,2.0238278
40,39,0.9002022,20.534306,2.0629878
40,40,0.8918069,20.873878,2.0754666
40,41,0.8795994,21.237698,2.1027284
40,42,0.8882871,20.97933,2.0754006
40,43,0.8707538,21.492813,2.087922
40,44,0.90073127,20.51087,2.0395567
40,45,0.9125926,19.681145,1.9923368
40,46,0.886804,21.02192,2.0933762
40,47,0.89619225,20.667599,2.0455127
40,48,0.8849355,21.096464,2.092348
40,49,0.9123671,19.735516,1.9950328
40,50,0.9022033,20.427723,2.0392094
40,51,0.8784507,21.252218,2.1052191
40,52,0.88420886,21.125673,2.0928926
40,53,0.88344485,21.17736,2.1011748
40,54,0.9068579,20.165611,2.0321524
40,55,0.8989108,20.570593,2.0625837
40,56,0.8758189,21.401838,2.0987942
40,57,0.89559865,20.74129,2.0702672
40,58,0.9064086,20.176905,2.02585
40,59,0.9090643,20.089262,2.0210948
40,60,0.8943223,20.774889,2.0728967
40,61,0.88916826,20.963787,2.0909753
40,62,0.90244323,20.412666,2.0340898
40,63,0.90640146,20.236311,2.044601
40,64,0.8777349,21.277527,2.0924873
40,65,0.90166414,20.484163,2.0430355
40,66,0.8881919,20.9873,2.0849428
40,67,0.9114999,19.911331,2.0089035
40,68,0.88792497,21.017302,2.0925014
40,69,0.879279,21.24107,2.1043468
40,70,0.912012,19.786757,1.9964795
40,71,0.8953583,20.760752,2.0761907
40,72,0.8980706,20.651794,2.0669525
40,73,0.896529,20.66735,2.0633883
40,74,0.8900642,20.916632,2.0807266
40,75,0.88597727,21.077639,2.0917995
40,76,0.8997101,20.539978,2.060809
40,77,0.87118286,21.484434,2.0894861
40,78,0.90815246,20.10804,2.0253413
40,79,0.88795394,20.997358,2.091181
40,80,0.89317614,20.813808,2.0820248
40,81,0.90505034,20.280077,2.0333235
40,82,0.8954902,20.756916,2.0618355
40,83,0.90318006,20.402328,2.049253
40,84,0.90341794,20.313644,2.0258448
40,85,0.9123979,19.726358,1.9953903
40,86,0.88666403,21.06339,2.0897448
40,87,0.91286814,19.669985,1.9959294
40,88,0.9076323,20.147547,2.0284505
40,89,0.8980927,20.621475,2.0478904
40,90,0.8921983,20.845509,2.07636
50,0,0.87106526,21.508305,2.0869954
50,1,0.91399133,19.635191,1.9913622
50,2,0.8749556,21.475697,2.101337
50,3,0.87118286,21.484434,2.0894861
50,4,0.91088533,20.01423,2.018783
50,5,0.9128388,19.820532,1.9999735
50,6,0.8945999,20.82667,2.0735178
50,7,0.8767573,21.383928,2.0946157
50,8,0.89575964,20.802483,2.0481873
50,9,0.9129775,19.72509,1.998727
50,10,0.90945095,20.119577,2.0245745
50,11,0.8884483,21.03054,2.0920396
50,12,0.9109896,19.93311,2.008115
50,13,0.8784668,21.301092,2.1005466
50,14,0.9103798,20.073786,2.0226529
50,15,0.8939831,20.87856,2.0742674
50,16,0.8896817,21.014711,2.0755432
50,17,0.8776821,21.33773,2.0925083
50,18,0.9136587,19.684921,1.995469
50,19,0.9118518,19.854975,2.0038693
50,20,0.8797645,21.28782,2.1004708
50,21,0.88125765,21.226948,2.1007154
50,22,0.90339905,20.455904,2.0426261
50,23,0.9116697,19.917778,2.010907
50,24,0.87620467,21.410707,2.0983474
50,25,0.90989393,20.074953,2.0181031
50,26,0.90870726,20.140547,2.018755
50,27,0.902331,20.497292,2.0591748
50,28,0.9035169,20.393486,2.0351238
50,29,0.87606734,21.440578,2.1005332
50,30,0.880894,21.244524,2.0929382
50,31,0.9004443,20.586983,2.0598304
50,32,0.89632094,20.78085,2.0626929
50,33,0.91234595,19.851645,2.0034466
50,34,0.90526205,20.315317,2.0478778
50,35,0.8921564,20.914919,2.0918841
50,36,0.88219666,21.21101,2.1033847
50,37,0.8978838,20.706509,2.0727887
50,38,0.8983698,20.680187,2.0590076
50,39,0.8875076,21.069906,2.0941515
50,40,0.8971351,20.73305,2.071919
50,41,0.8868517,21.08819,2.0884678
50,42,0.9133148,19.723381,1.9996561
50,43,0.87991697,21.250751,2.0971375
50,44,0.890174,21.00446,2.0847652
50,45,0.906216,20.299257,2.0457723
50,46,0.9029146,20.461851,2.055919
50,47,0.8904603,20.981092,2.0884583
50,48,0.9043244,20.373451,2.0518038
50,49,0.91379714,19.64665,1.9917508
50,50,0.9084087,20.157784,2.0275285
50,51,0.8929725,20.90029,2.0749364
50,52,0.8986279,20.664295,2.0578966
50,53,0.8852711,21.148613,2.0968633
50,54,0.88595533,21.123636,2.0672052
50,55,0.9069438,20.207592,2.0294883
50,56,0.8914813,20.931087,2.0822694
50,57,0.908296,20.186666,2.0261133
50,58,0.8975049,20.717167,2.0776877
50,59,0.8911678,20.95749,2.0929155
50,60,0.8781965,21.327042,2.1043968
50,61,0.9058334,20.307928,2.036996
50,62,0.89903015,20.645205,2.075186
50,63,0.90097284,20.509167,2.0526364
50,64,0.9075056,20.192293,2.0280013
50,65,0.8994816,20.625076,2.0702791
50,66,0.88781273,21.04646,2.0834603
50,67,0.9049623,20.346094,2.0381455
50,68,0.88436383,21.167006,2.0990808
50,69,0.8936045,20.884909,2.0662014
50,70,0.9007945,20.516933,2.0535383
50,71,0.89681876,20.75961,2.0802236
50,72,0.8840962,21.1719,2.0988593
50,73,0.9005579,20.554823,2.0474234
50,74,0.9017314,20.503614,2.0481074
50,75,0.9007634,20.55126,2.0573997
50,76,0.89970994,20.596489,2.0664496
50,77,0.88344485,21.17736,2.1011748
50,78,0.87512654,21.445986,2.0986326
50,79,0.90474856,20.36137,2.0507424
50,80,0.8918036,20.925385,2.0653298
50,81,0.88248855,21.20499,2.10306
50,82,0.9112777,19.91905,2.0077238
50,83,0.88641864,21.101467,2.0953996
50,84,0.87980485,21.266142,2.0979898
50,85,0.9068805,20.225185,2.0270822
50,86,0.89659977,20.7609,2.056148
50,87,0.893175,20.89539,2.043318
50,88,0.8859652,21.117344,2.0971375
50,89,0.90628564,20.261896,2.0363915
50,90,0.90382427,20.38624,2.0556197
50,91,0.9077292,20.187756,2.030491
50,92,0.8993867,20.642912,2.064434
50,93,0.9065077,20.246134,2.0343766
50,94,0.89964277,20.600126,2.0667496
50,95,0.8830516,21.203234,2.0944407
50,96,0.9068028,20.244596,2.0342796
50,97,0.8751261,21.447319,2.098705
50,98,0.8876015,21.046976,2.0946546
50,99,0.8849479,21.15661,2.0934947
60,0,0.869363,21.53228,2.0845702
60,1,0.914054,19.66264,1.9959911
60,2,0.87109745,21.528471,2.0888991
60,3,0.9138954,19.81196,1.9996514
60,4,0.87475395,21.516163,2.094648
60,5,0.9125329,19.94552,2.009866
60,6,0.91100454,20.044203,2.018205
60,7,0.88199437,21.279882,2.10278
60,8,0.91296756,19.875029,2.0050843
60,9,0.9054824,20.347029,2.033158
60,10,0.87659645,21.414238,2.0975432
60,11,0.8804196,21.28836,2.0998328
60,12,0.9115619,20.009,2.0147138
60,13,0.9103879,20.097273,2.0177221
60,14,0.9117064,19.966837,2.0131404
60,15,0.90490085,20.385557,2.0382483
60,16,0.8859823,21.157824,2.0678139
60,17,0.87810093,21.411024,2.1044002
60,18,0.87872946,21.379108,2.1072083
60,19,0.8889904,21.048105,2.0985768
60,20,0.89181495,20.965485,2.059808
60,21,0.904015,20.438255,2.0439484
60,22,0.8878041,21.118332,2.0975492
60,23,0.8849488,21.18986,2.0925465
60,24,0.9034902,20.47,2.0503707
60,25,0.9090285,20.141506,2.0269616
60,26,0.90623784,20.314955,2.0302496
60,27,0.90885675,20.174105,2.0276198
60,28,0.88862765,21.105295,2.0708194
60,29,0.8911901,20.992,2.0725365
60,30,0.91331995,19.851254,2.0040245
60,31,0.8975321,20.750885,2.0754032
60,32,0.9028292,20.516758,2.054935
60,33,0.9032081,20.486889,2.0548682
60,34,0.89651066,20.783998,2.0751083
60,35,0.88427204,21.203556,2.0859268
60,36,0.8789217,21.335669,2.1060326
60,37,0.90114117,20.569057,2.0590796
60,38,0.886937,21.12588,2.0960467
60,39,0.9083803,20.195782,2.0307348
60,40,0.8952525,20.834541,2.057901
60,41,0.8899079,21.019882,2.081791
60,42,0.89571226,20.807442,2.049216
60,43,0.88228524,21.23589,2.0960014
60,44,0.87979233,21.298119,2.0905647
60,45,0.8760213,21.443892,2.099488
60,46,0.90229416,20.523556,2.0576487
60,47,0.893175,20.89539,2.043318
60,48,0.8928468,20.9356,2.0754702
60,49,0.907055,20.2724,2.0454254
60,50,0.87542033,21.478874,2.1000214
60,51,0.9094877,20.118887,2.0247147
60,52,0.8950906,20.849638,2.0750656
60,53,0.90196747,20.545979,2.0576158
60,54,0.9001002,20.597399,2.0628362
60,55,0.90802914,20.207994,2.0281422
60,56,0.897686,20.720638,2.06945
60,57,0.9068724,20.29766,2.03423
60,58,0.8784526,21.403694,2.1034732
60,59,0.90174294,20.561731,2.058049
60,60,0.8904095,21.008904,2.050608
60,61,0.9044763,20.400993,2.0509288
60,62,0.875082,21.489895,2.097992
60,63,0.8961634,20.805075,2.0789933
60,64,0.9042983,20.4176,2.0422807
60,65,0.8793272,21.309202,2.100659
60,66,0.89213836,20.944374,2.0655982
60,67,0.88667935,21.14049,2.0937693
60,68,0.87606734,21.440578,2.1005332
60,69,0.88337433,21.205315,2.093983
60,70,0.9007044,20.587671,2.0376189
60,71,0.8892869,21.029995,2.0811546
60,72,0.8829729,21.215849,2.0892563
60,73,0.89079565,20.999414,2.0507257
60,74,0.88232213,21.226145,2.0967042
60,75,0.8993635,20.65752,2.0751557
60,76,0.8885154,21.105875,2.0632637
60,77,0.89983827,20.628057,2.0557902
60,78,0.8862099,21.149242,2.0931036
60,79,0.89460325,20.86888,2.0738614
60,80,0.90655917,20.310608,2.0301578
60,81,0.89964753,20.647274,2.0639274
60,82,0.87911713,21.325872,2.1061957
60,83,0.884826,21.193197,2.0880103
60,84,0.8940559,20.890753,2.0647244
60,85,0.8748095,21.512936,2.0942175
60,86,0.89425474,20.884933,2.0587766
60,87,0.8986279,20.664295,2.0578966
60,88,0.8984484,20.684614,2.0725558
60,89,0.8978838,20.706509,2.0727887
60,90,0.910031,20.108578,2.0215964
60,91,0.8968579,20.761024,2.058711
60,92,0.91345173,19.819208,2.0008962
60,93,0.9075958,20.223566,2.028709
60,94,0.89890605,20.66392,2.0503078
60,95,0.896857,20.761076,2.0587146
60,96,0.9072871,20.24553,2.0382774
60,97,0.9072012,20.24771,2.0427864
60,98,0.9003741,20.589249,2.0399842
60,99,0.90756047,20.226112,2.0289733
70,0,0.8713742,21.536915,2.0893562
70,1,0.91448605,19.771294,1.9957335
70,2,0.91403705,19.807789,1.9993497
70,3,0.8721752,21.522678,2.0863018
70,4,0.87680733,21.468554,2.0989518
70,5,0.8736932,21.519878,2.0903635
70,6,0.91365343,19.874912,2.0041764
70,7,0.8800591,21.350489,2.105746
70,8,0.90489227,20.399143,2.05064
70,9,0.8986237,20.743063,2.0636659
70,10,0.9021063,20.552753,2.059478
70,11,0.89189637,21.003426,2.064427
70,12,0.89258385,20.96601,2.0765998
70,13,0.8810921,21.318758,2.0973318
70,14,0.905598,20.36747,2.0383132
70,15,0.8747557,21.516768,2.0947208
70,16,0.8776756,21.429268,2.10314
70,17,0.87622494,21.481768,2.091765
70,18,0.90813076,20.24153,2.0383396
70,19,0.9074434,20.27433,2.0365016
70,20,0.89934915,20.718254,2.0633245
70,21,0.8886663,21.12185,2.0833812
70,22,0.8860284,21.194286,2.096164
70,23,0.90195596,20.5882,2.069394
70,24,0.91124004,20.060162,2.0147216
70,25,0.91334975,19.887453,2.005014
70,26,0.90655917,20.310608,2.0301578
70,27,0.88137954,21.313005,2.092192
70,28,0.9129852,19.924112,2.0097091
70,29,0.90285593,20.531418,2.0581741
70,30,0.89108765,21.023659,2.0579176
70,31,0.8850485,21.212973,2.0748322
70,32,0.912331,19.977985,2.0146177
70,33,0.8874158,21.122702,2.09713
70,34,0.8957982,20.852646,2.0550299
70,35,0.8964782,20.84087,2.0523036
70,36,0.8997307,20.708296,2.063158
70,37,0.9005883,20.635117,2.0587778
70,38,0.8792223,21.380535,2.101796
70,39,0.90402466,20.452885,2.046373
