sample_id,Omega,P,Compression_ratio,Efficiency,Massflow
0,1641.51,366255.35,1.897161,0.874458,18.741776
1,1639.53,372627.75,1.896274,0.863494,18.421656
2,1748.61,364912.85,2.016035,0.862404,19.968557
3,1625.13,361225.45,1.869005,0.886386,18.727144
4,1665.81,369387.85,1.939042,0.873711,18.999257
5,1634.67,372735.15,1.901861,0.869358,18.465885
6,1799.01,375151.65,2.114151,0.864458,20.350099
7,1782.63,367383.05,2.060489,0.856763,20.255821
8,1702.17,371124.15,1.998646,0.873315,19.478984
9,1646.01,373379.55,1.918972,0.868766,18.604472
10,1641.33,373970.25,1.899697,0.870882,18.384049
11,1695.51,364035.75,1.971533,0.878499,19.577958
12,1716.93,375080.05,2.005522,0.857812,19.331952
13,1767.51,365109.75,2.037404,0.863395,20.156774
14,1755.27,374131.35,2.066229,0.877347,19.9704
15,1640.25,371750.65,1.918972,0.878395,18.683043
16,1698.75,373862.85,1.97245,0.866302,19.087038
17,1630.53,366631.25,1.87265,0.872054,18.490492
18,1796.49,360867.45,2.063495,0.862296,20.636449
19,1647.63,369065.65,1.916161,0.878072,18.798871
20,1646.37,370032.25,1.909384,0.871287,18.682688
21,1643.85,373236.35,1.89723,0.869875,18.393475
22,1768.59,362657.45,2.029276,0.86599,20.204948
23,1652.85,371643.25,1.910803,0.872555,18.602321
24,1742.85,368940.35,2.029665,0.868455,19.883549
25,1673.73,375724.45,1.961238,0.866714,18.888835
26,1758.33,364572.75,2.033166,0.863156,20.142461
27,1772.73,367186.15,2.061314,0.864141,20.282196
28,1730.07,363480.85,1.995171,0.883445,19.846619
29,1671.21,365915.25,1.942414,0.882499,19.217314
30,1737.63,362174.15,2.004231,0.881194,20.004015
31,1741.95,370264.95,2.043312,0.867017,19.946966
32,1642.77,360724.25,1.892303,0.886965,18.988448
33,1675.53,361762.45,1.93582,0.881721,19.357867
34,1748.43,376440.45,2.058469,0.864368,19.7702
35,1724.67,373791.25,2.013156,0.863101,19.473847
36,1629.09,371607.45,1.891172,0.873445,18.425738
37,1776.15,365414.05,2.042551,0.849221,20.175945
38,1710.45,361458.15,1.984587,0.888121,19.860423
39,1676.61,368922.45,1.952606,0.869482,19.15406
40,1684.35,359220.65,1.944733,0.884925,19.585717
41,1790.91,361816.15,2.052299,0.859918,20.457313
42,1673.37,358952.15,1.927279,0.883689,19.417776
43,1652.31,365378.25,1.914013,0.873005,18.946065
44,1789.29,367776.85,2.080889,0.861575,20.424454
45,1644.21,376028.75,1.902203,0.863686,18.306719
46,1745.73,364536.95,2.022856,0.869999,20.031953
47,1639.17,361386.55,1.893109,0.89061,18.959042
48,1724.85,375259.05,2.017605,0.87268,19.439415
49,1703.25,370300.75,1.978903,0.864517,19.322472
50,1622.25,374686.25,1.886979,0.868613,18.237348
51,1625.85,366541.75,1.87078,0.877549,18.467207
52,1689.75,374381.95,1.975112,0.87722,19.087453
53,1699.29,360384.15,1.966964,0.872837,19.73367
54,1725.57,375294.85,2.032833,0.871875,19.595813
55,1733.67,375939.25,2.047191,0.866982,19.702335
56,1770.57,364877.05,2.043026,0.86351,20.219337
